OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,UnitPrice,Quantity,Country,LineAmount
O00001,2025-06-28,C033,P020,Water Bottle,Home & Kitchen,247.28,2,Canada,494.56
O00001,2025-06-28,C033,P019,Bedsheet,Home & Kitchen,949.06,2,Australia,1898.12
O00001,2025-06-28,C033,P004,Bluetooth Speaker,Electronics,3785.67,3,Canada,11357.01
O00002,2025-09-06,C021,P018,Dinner Set,Home & Kitchen,2794.42,1,UK,2794.42
O00002,2025-09-06,C021,P023,Yoga Mat,Sports,705.87,3,Canada,2117.61
O00002,2025-09-06,C021,P002,Laptop,Electronics,59719.4,1,Canada,59719.4
O00002,2025-09-06,C021,P013,Cooking Oil 1L,Groceries,159.66,1,Canada,159.66
O00003,2025-05-24,C083,P022,Football,Sports,938.46,2,Australia,1876.92
O00003,2025-05-24,C083,P008,Sneakers,Fashion,2406.54,2,Australia,4813.08
O00003,2025-05-24,C083,P001,Smartphone,Electronics,18170.96,2,UK,36341.92
O00003,2025-05-24,C083,P006,T-Shirt,Fashion,680.39,2,Australia,1360.78
O00003,2025-05-24,C083,P002,Laptop,Electronics,54174.13,1,Australia,54174.13
O00004,2025-12-08,C065,P008,Sneakers,Fashion,2525.08,2,Canada,5050.16
O00004,2025-12-08,C065,P014,Sugar 1kg,Groceries,52.93,1,India,52.93
O00004,2025-12-08,C065,P018,Dinner Set,Home & Kitchen,2843.26,2,USA,5686.52
O00004,2025-12-08,C065,P016,Mixer Grinder,Home & Kitchen,3505.54,1,Australia,3505.54
O00005,2025-05-29,C047,P008,Sneakers,Fashion,2479.02,1,Canada,2479.02
O00005,2025-05-29,C047,P017,Pressure Cooker,Home & Kitchen,2218.13,2,Canada,4436.26
O00005,2025-05-29,C047,P013,Cooking Oil 1L,Groceries,158.38,2,Australia,316.76
O00005,2025-05-29,C047,P025,Badminton Racket,Sports,791.19,1,UK,791.19
O00005,2025-05-29,C047,P002,Laptop,Electronics,52516.61,2,India,105033.22
O00006,2025-07-31,C161,P004,Bluetooth Speaker,Electronics,3636.92,3,India,10910.76
O00006,2025-07-31,C161,P023,Yoga Mat,Sports,752.06,2,India,1504.12
O00006,2025-07-31,C161,P022,Football,Sports,863.57,1,India,863.57
O00006,2025-07-31,C161,P012,Wheat Flour 5kg,Groceries,310.42,3,Australia,931.26
O00006,2025-07-31,C161,P025,Badminton Racket,Sports,863.77,3,India,2591.31
O00007,2025-12-17,C197,P015,Tea 500g,Groceries,236.44,2,USA,472.88
O00007,2025-12-17,C197,P012,Wheat Flour 5kg,Groceries,330.49,1,Australia,330.49
O00007,2025-12-17,C197,P025,Badminton Racket,Sports,865.2,2,India,1730.4
O00007,2025-12-17,C197,P016,Mixer Grinder,Home & Kitchen,3104.33,1,Australia,3104.33
O00007,2025-12-17,C197,P007,Jeans,Fashion,1568.86,1,UK,1568.86
O00008,2025-04-13,C179,P011,Rice 5kg,Groceries,383.95,1,Australia,383.95
O00008,2025-04-13,C179,P013,Cooking Oil 1L,Groceries,159.89,2,UK,319.78
O00008,2025-04-13,C179,P020,Water Bottle,Home & Kitchen,246.51,3,UK,739.53
