ProductID,ProductName,LineAmount
P002,Laptop,39828082.53
P001,Smartphone,12264160.18
P005,Smartwatch,4829529.71
P016,Mixer Grinder,2509538.46
P004,Bluetooth Speaker,2438068.16
P009,Jacket,2212077.32
P003,Headphones,2018895.85
P018,Dinner Set,2016544.8800000001
P008,Sneakers,1802852.52
P017,Pressure Cooker,1656038.79
P021,Cricket Bat,1167555.47
P007,Jeans,1163546.79
P024,Dumbbells 5kg,882214.36
P010,Formal Shirt,747629.9400000001
P019,Bedsheet,690229.68
P022,Football,638820.52
P025,Badminton Racket,604587.48
P006,T-Shirt,534689.21
P023,Yoga Mat,528482.31
P012,Wheat Flour 5kg,256900.94
P011,Rice 5kg,256899.78
P015,Tea 500g,179987.74
P020,Water Bottle,175614.26
P013,Cooking Oil 1L,117963.7
P014,Sugar 1kg,37987.87
